thank you | Gemini
안녕 | 1
안녕 | 1
가은이 머 | Gemini
안녕 | 1
커피 줄래? | 0
안녕 | 1
커피 내놔 | Gemini
커피 줄래? | 0
그러면 아이스 아메리 | Gemini
안녕 아이스 아메리 | Gemini
아이스 아메리카노 | 3
2 | 4
Cold | 5
True | 6
이대로 주문할게 | Gemini
None | Gemini
None | Gemini
None | Gemini
None | Gemini
안녕 | 1
None | Gemini
None | Gemini
안녕 | 1
생일 라멘 | Gemini
안녕하세요 안녕하세요 안녕하세요 | Gemini
눈물 | Gemini
안녕하세요 안녕하세요 | Gemini
안녕 | 1
안녕 안녕 안녕 안녕 안녕 | Gemini
해외로 | Gemini
눈물로가 | Gemini
우와 우와 | Gemini
눈물로 | Gemini
기억하고 나면 | Gemini
추억과 전화 | Gemini
안녕하세요 | Gemini
멈춰야지 | Gemini
너 다 했어 | Gemini
내가 말해서 짜증 낸 거야 아니요 | Gemini
세탁기 옆에 붙이는 | Gemini
안녕하세요 안녕하세요 안녕하세요 | Gemini
응 알겠어 | Gemini
안녕하세요 안녕하세요 안녕하세요 | Gemini
왜 | Gemini
이게 | Gemini
안녕하세요 안녕하세요 안녕하세요 | Gemini
그래 아이폰 15% 이상부터 된다고요 | Gemini
이런 | Gemini
아들 이야기 안 하 | Gemini
기다려 봐요 뭐 하고 있어요 | Gemini
아이스 아메리카노 | 3
두 잔 줄래 목소리 괜찮잖아 두 잔 줄래 | Gemini
2 | 4
차갑게 해 줄래 | Gemini
Cold | 5
True | 6
이대로 주문할게 | Gemini
지금 지금도 느리다고 생각이 드는 거야 그래서 | Gemini
안녕하세요 요런 식으로 하고 다시 엔터를 치면 | Gemini
이런 식으로 구현되어 있는 비트 | Gemini
None | Gemini
None | Gemini
안녕 | 1
안녕 안녕하세요 | Gemini
안녕 안녕하세요 | Gemini
안녕 | 1
안녕 | 1
안녕 | 1
안녕 | 1
안녕 | 1
안녕 | 1
아이스 아메리카노 | 3
2 | 4
차갑게 줄 수 있어 | Gemini
작게 해 줄래 | Gemini
차갑게 해 줄래 | Gemini
안녕 | 1
아이스 아메리카노 | 3
2 | 4
Warm | 5
True | 6
이대로 주문할게 | Gemini
order | 7
나 | Gemini
안녕 | 1
아이스 아메리카노 | 3
2 | 4
차갑게 해 줄래 | Gemini
아이스 아메리카노 차갑게 해 달라고 | Gemini
안녕 | 1
아이스 아메리카노 | 3
3 | 4
나는 따뜻한 거 | Gemini
따뜻한 아이스 아메리카노 줄래 | Gemini
Warm | 5
True | 6
이대로 주문할게 | Gemini
안녕 | 1
아이스 아메리카노 | 3
